,Media Source,Tweet,DateTime,Tweets Ago,Compound,Positive,Neutral,Negative
142,@FoxNews,"Democratic congressmen arrested in protests outside #Trump Tower
 https://t.co/fk109RyRvR",2017-09-19 19:44:46+00:00,43,-0.6124,0.0,0.583,0.417
143,@FoxNews,Retail Apocalypse: 20 big retailers closing stores in 2017 https://t.co/PwCkrYMVtI,2017-09-19 19:15:50+00:00,44,0.0,0.0,1.0,0.0
144,@FoxNews,"Can the US military shoot down a North Korean missile?
 https://t.co/0pFn2rlFjQ",2017-09-19 19:08:59+00:00,45,-0.34,0.0,0.789,0.211
145,@FoxNews,.@LisaMarieBoothe: 'Dreamers' should be angry at Pelosi and Schumer https://t.co/3DjXCe0LLH,2017-09-19 19:08:28+00:00,46,-0.5106,0.0,0.732,0.268
146,@FoxNews,".@SenSchumer on Graham/Cassidy bill: ""It's even more dangerous and more reckless than the previous bill...Simply pu… https://t.co/DA6YzoTFMB",2017-09-19 18:59:06+00:00,47,-0.7496,0.0,0.701,0.299
147,@FoxNews,BREAKING: 7.1 magnitude earthquake shakes Mexico City https://t.co/333eyU0JOn,2017-09-19 18:40:25+00:00,48,0.0,0.0,1.0,0.0
148,@FoxNews,"Moments ago, President #Trump gave a toast to ""the great, great potential of the United Nations."" #UNGA https://t.co/EcsaAAfabS",2017-09-19 18:15:06+00:00,49,0.9001,0.44,0.56,0.0
149,@FoxNews,".@LeslieMarshall on @POTUS's UN speech: ""This is not a rally, this is not his base... The UN stage is not a place t… https://t.co/cVBplHP3DK",2017-09-19 17:27:16+00:00,50,0.0,0.0,1.0,0.0
150,@FoxNews,MOMENTS AGO: @realDonaldTrump's motorcade returned to the @UN for the afternoon session. https://t.co/631WxpARBu,2017-09-19 17:11:32+00:00,51,0.0,0.0,1.0,0.0
151,@FoxNews,".@FoxNewsOpinion: Sticking to script, President #Trump sticks it to the UN https://t.co/xMrkAHRvhE",2017-09-19 17:10:33+00:00,52,0.0,0.0,1.0,0.0
152,@FoxNews,".@SenJohnMcCain comforts a man whose son died in the USS Fitzgerald collision, after a hearing on recent Navy incid… https://t.co/5ssBUuds60",2017-09-19 17:03:51+00:00,53,-0.4588,0.128,0.62,0.252
153,@FoxNews,"UN Speech: Trump Says 'Rocket Man' Kim Jong Un on 'Suicide Mission,' in Broadside at 'Rogue Regimes' https://t.co/6vyT1UQuCz",2017-09-19 16:57:48+00:00,54,-0.6705,0.0,0.791,0.209
154,@FoxNews,President #DonaldTrump criticized socialism and communism during his #UNGA address on Tuesday.… https://t.co/ZMaoPD5QM6,2017-09-19 16:29:39+00:00,55,-0.3612,0.0,0.828,0.172
155,@FoxNews,"Huckabee: @POTUS ""was acting like the President of the United States and not someone who is coming in to beg forgiv… https://t.co/i0KJURPuww",2017-09-19 16:23:31+00:00,56,0.6486,0.209,0.791,0.0
156,@FoxNews,'#TrumpVindicated'? Manafort wiretap report could boost #Trump's claim after months of media mocking https://t.co/jNRvL1qxeV,2017-09-19 16:13:12+00:00,57,0.0,0.155,0.69,0.155
157,@FoxNews,Israeli PM @netanyahu offered praise for @POTUS' #UNGA speech: President #Trump spoke the truth about the great dan… https://t.co/K1bATu0m8K,2017-09-19 16:11:39+00:00,58,0.875,0.385,0.615,0.0
158,@FoxNews,.@AmbJohnBolton: President #Trump's UN speech showed he's not going to tolerate 'half-measures &amp; compromises' #UNGA https://t.co/DNuBETBDHe,2017-09-19 16:00:05+00:00,59,0.0,0.0,1.0,0.0
159,@FoxNews,"President #DonaldTrump to #UNGA: North Korea’s ""rocket man"" is on a suicide mission. https://t.co/OxMHPGv50R https://t.co/5tzqAxvUM3",2017-09-19 15:19:05+00:00,60,-0.6705,0.0,0.743,0.257
160,@FoxNews,"RT @FoxNewsResearch: North Korea ?
•source country for forced labor &amp; sex trafficking
•holds apx 80K to 120K prisoners in political prison…",2017-09-19 15:18:17+00:00,61,-0.743,0.0,0.751,0.249
161,@FoxNews,".@POTUS vowed to put ""America first"" during his #UNGA address. https://t.co/OxMHPGv50R https://t.co/mllWnQsjVe",2017-09-19 15:08:36+00:00,62,0.0,0.0,1.0,0.0
162,@FoxNews,".@RepDeSantis on @POTUS's speech to the @UN General Assembly: ""This is the international UN version of draining the… https://t.co/F8IZNjuuCy",2017-09-19 14:58:04+00:00,63,0.0,0.0,1.0,0.0
163,@FoxNews,“The United States bears an unfair cost burden.” – @POTUS? on the U.S. financial contribution to the United Nations… https://t.co/DE0ZeSqdkY,2017-09-19 14:55:29+00:00,64,0.3612,0.227,0.648,0.126
164,@FoxNews,".@POTUS: ""We will fight together, sacrifice together and stand together for peace."" https://t.co/OxMHPGv50R https://t.co/4bPtMqEswe",2017-09-19 14:49:07+00:00,65,-0.3818,0.0,0.833,0.167
165,@FoxNews,".@POTUS: ""The American story is the story of what is possible when people take ownership of their future.""… https://t.co/XVF93M9VHU",2017-09-19 14:46:14+00:00,66,0.0,0.0,1.0,0.0
166,@FoxNews,".@POTUS at #UNGA:  ""[Iran nuclear] deal is an embarrassment to the United States.” https://t.co/Nytti82vjN",2017-09-19 14:43:37+00:00,67,-0.0258,0.158,0.678,0.164
167,@FoxNews,".@POTUS: ""We must never forget that those heroes who fought against evil also fought for the nations that they love… https://t.co/g6zI8M7jdt",2017-09-19 14:42:58+00:00,68,-0.6167,0.166,0.534,0.3
168,@FoxNews,".@POTUS: ""Wherever true socialism or communism has been adopted it has delivered anguish, devastation and failure."" https://t.co/qNSNdbwcCc",2017-09-19 14:41:07+00:00,69,-0.5994,0.119,0.596,0.285
169,@FoxNews,".@POTUS: ""The Venezuelan people are starving and its country is collapsing."" https://t.co/OxMHPGv50R https://t.co/2IStudW1vf",2017-09-19 14:37:28+00:00,70,-0.4215,0.0,0.811,0.189
170,@FoxNews,".@POTUS: ""We will not lift sanctions on the Cuban government until it makes fundamental reforms.""… https://t.co/YewAj8CbWK",2017-09-19 14:36:10+00:00,71,0.0,0.0,1.0,0.0
171,@FoxNews,".@POTUS: ""The United Nations must reform if it is to be an effective partner in confronting threats to sovereignty.… https://t.co/xzUylRFxbC",2017-09-19 14:35:16+00:00,72,0.3612,0.224,0.608,0.167
172,@FoxNews,".@POTUS: ""For the cost of resettling 1 refugee in the United States, we can assist more than 10 in their home regio… https://t.co/aVFC3493uJ",2017-09-19 14:31:48+00:00,73,0.4215,0.118,0.882,0.0
173,@FoxNews,".@POTUS: ""If [the U.S.] is forced to defend itself or its allies, we will have no choice but to totally destroy Nor… https://t.co/pFofdUY1gB",2017-09-19 14:31:44+00:00,74,-0.8312,0.0,0.695,0.305
174,@FoxNews,".@POTUS on Syria: ""No society can be safe if banned chemical weapons are allowed to spread."" https://t.co/OxMHPGv50R https://t.co/VRKZGD31qZ",2017-09-19 14:30:10+00:00,75,-0.6369,0.116,0.56,0.324
175,@FoxNews,".@POTUS: ""The United States and our allies are working together... to crush the loser terrorists.""… https://t.co/PmYVqH7cgy",2017-09-19 14:28:31+00:00,76,-0.296,0.135,0.625,0.24
176,@FoxNews,".@POTUS: ""Iran's government must stop supporting terrorists."" https://t.co/OxMHPGv50R https://t.co/eaCiUsGwQP",2017-09-19 14:24:53+00:00,77,0.1779,0.24,0.579,0.182
177,@FoxNews,"In his first #UNGA speech, @POTUS? vowed to “always put America first.”  https://t.co/OxMHPGMFSp https://t.co/zYcs6z3iNN",2017-09-19 14:21:08+00:00,78,0.0,0.0,1.0,0.0
178,@FoxNews,".@POTUS: ""We must confront together, those who threaten us with chaos, turmoil and terror."" https://t.co/OxMHPGv50R https://t.co/SJOprglcQU",2017-09-19 14:19:58+00:00,79,-0.8591,0.0,0.533,0.467
179,@FoxNews,".@POTUS: ""We must fulfill our sovereign duty to the people we faithfully represent."" https://t.co/OxMHPGv50R https://t.co/MtkSNpvgcA",2017-09-19 14:19:06+00:00,80,0.6908,0.305,0.695,0.0
180,@FoxNews,".@POTUS: ""We want harmony and friendship not conflict and strife."" https://t.co/OxMHPGv50R https://t.co/wvJ7Qfsxr0",2017-09-19 14:17:52+00:00,81,0.7822,0.526,0.474,0.0
181,@FoxNews,".@POTUS: ""As President of the United States, I will always put America first."" https://t.co/OxMHPGv50R https://t.co/rPf6eZT6t5",2017-09-19 14:16:30+00:00,82,0.4215,0.177,0.823,0.0
182,@FoxNews,".@POTUS: ""Generations of Americans have sacrificed to maintain... the promise of our country.""… https://t.co/zp9wPU19QC",2017-09-19 14:15:33+00:00,83,0.3182,0.15,0.85,0.0
183,@FoxNews,".@POTUS: ""Strong sovereign nations allow individuals to flourish in the fullness of life intended by God.""… https://t.co/EDr7nD06rW",2017-09-19 14:13:04+00:00,84,0.6369,0.257,0.743,0.0
184,@FoxNews,".@POTUS: ""Our success depends on a coalition of strong and independent nations that embrace their sovereignty.""… https://t.co/nXeyLqYhpH",2017-09-19 14:11:11+00:00,85,0.8519,0.417,0.583,0.0
185,@FoxNews,".@POTUS: ""We meet at a time of both immense promise and great peril."" https://t.co/OxMHPGv50R https://t.co/3eoftS426x",2017-09-19 14:09:34+00:00,86,0.7506,0.348,0.652,0.0
186,@FoxNews,".@POTUS: ""Terrorists and extremists have gathered strength and spread to every region of the planet.""… https://t.co/siDyHc9xLW",2017-09-19 14:07:27+00:00,87,-0.2263,0.15,0.657,0.192
187,@FoxNews,".@POTUS: ""Our military will soon be the strongest it has ever been."" https://t.co/OxMHPGv50R https://t.co/MgAEbduzJK",2017-09-19 14:06:37+00:00,88,0.4404,0.182,0.818,0.0
188,@FoxNews,".@POTUS: ""The United States has done very well since election day."" https://t.co/OxMHPGv50R https://t.co/h4nFZ9ksB9",2017-09-19 14:06:01+00:00,89,0.6361,0.321,0.679,0.0
189,@FoxNews,".@POTUS: It is a profound honor to stand here in my home city as a representative of the American people, to addres… https://t.co/TlUk9CLTIe",2017-09-19 14:05:21+00:00,90,0.4939,0.138,0.862,0.0
190,@FoxNews,President @realDonaldTrump arrives at the United Nations to deliver his speech to the General Assembly… https://t.co/AdhrxECdbx,2017-09-19 14:00:26+00:00,91,0.4215,0.157,0.843,0.0
191,@FoxNews,MOMENTS AGO: @realDonaldTrump departed for the @UN ahead of his speech to the UN General Assembly https://t.co/JACgwKTYiY,2017-09-19 13:57:26+00:00,92,0.0,0.0,1.0,0.0
192,@FoxNews,".@RandPaul on the @UN: ""We pay too much and get too little in return... We should get a vote proportional to how mu… https://t.co/gbvVxOuY62",2017-09-19 13:52:21+00:00,93,-0.1027,0.0,0.94,0.06
193,@FoxNews,".@RandPaul on the Graham-Cassidy health care plan: ""This is not a repeal bill."" https://t.co/1P4KamDntg https://t.co/WphOx2nf0Y",2017-09-19 13:50:16+00:00,94,0.4939,0.198,0.802,0.0
194,@FoxNews,.@dbongino on 'Dreamers' Confronting @NancyPelosi: 'A Dumb Strategy All Around' https://t.co/2mZMwWZm0i,2017-09-19 13:36:18+00:00,95,-0.5994,0.0,0.647,0.353
195,@FoxNews,Israel shoots down Hezbollah drone with a Patriot missile https://t.co/UFVb0jReSc,2017-09-19 13:32:12+00:00,96,0.0,0.0,1.0,0.0
196,@FoxNews,RT @foxnewspolitics: Trump Sets Stage for 'Big Day' at UN Ahead of Speech - via @brookefoxnews https://t.co/BXwzFl8ucn,2017-09-19 13:31:13+00:00,97,0.0,0.0,1.0,0.0
197,@FoxNews,"@AmbJohnBolton: ""I think we should pull out of the Iran Nuclear Deal. It was a debacle for the United States."" https://t.co/HGcyA4J8vb",2017-09-19 13:11:06+00:00,98,0.4215,0.128,0.872,0.0
198,@FoxNews,"WATCH: Laura Ingraham Discusses 'Ingraham Angle,' 'Dreamers' Confronting Pelosi https://t.co/EyuK2PyxCv",2017-09-19 13:05:03+00:00,99,-0.1531,0.0,0.849,0.151
199,@FoxNews,"Doris Day, 95, still devoted to rescuing animals and music, says business manager https://t.co/ZL196Ljudu",2017-09-19 12:58:56+00:00,100,0.4019,0.172,0.828,0.0
200,@CNN,"Norway's giant pension fund is now worth over $1 trillion. Yes, 1 followed by 12 zeros. https://t.co/XjGvdWMo87 https://t.co/ngi5nu2ijl",2017-09-20 03:15:11+00:00,1,0.5574,0.235,0.765,0.0
201,@CNN,"Glass breaks off a building after a 7.1-magnitude earthquake struck Mexico City, killing more than 100 people… https://t.co/xUKrc0JBzH",2017-09-20 03:04:59+00:00,2,-0.7506,0.0,0.686,0.314
202,@CNN,How Republicans senators say they'll vote on the Graham-Cassidy health care bill https://t.co/HQO71SuSgs https://t.co/l8gVDLeHwI,2017-09-20 03:00:29+00:00,3,0.4939,0.198,0.802,0.0
203,@CNN,RT @CNNTonight: Democrat @RepSwalwell: Almost everyone on Trump team has not been forthcoming when describing contacts with Russians https:…,2017-09-20 02:55:38+00:00,4,0.0,0.0,1.0,0.0
204,@CNN,"After Russian Facebook ads, Democrats seek new Federal Election Commission rules on social media politics… https://t.co/yOcMWWHuQH",2017-09-20 02:41:07+00:00,5,0.0,0.0,1.0,0.0
205,@CNN,"RT @AC360: Democrat Rep Himes: Mueller may be trying to ""turn"" Manafort to testify against other people https://t.co/Z6YuX8O3ey",2017-09-20 02:34:24+00:00,6,0.0,0.0,1.0,0.0
206,@CNN,Germany's car industry has a tough new critic: Chancellor Angela Merkel https://t.co/gyf5DpcVuu https://t.co/k2kUJd0n1j,2017-09-20 02:29:04+00:00,7,-0.3818,0.0,0.735,0.265
207,@CNN,Bed Bath &amp; Beyond shares plunge after disappointing earnings report https://t.co/cznszMMgkk https://t.co/2NiPEpars7,2017-09-20 02:26:15+00:00,8,-0.25,0.143,0.649,0.208
208,@CNN,"Biden calls out review of Obama-era Title IX guidance, cites ""new challenges"" in combating campus sexual assault… https://t.co/whBI5IjKkl",2017-09-20 02:20:20+00:00,9,0.0772,0.071,0.929,0.0
209,@CNN,"Gov. Ricardo Rosselló: Conditions deteriorating; We're expecting ""worst hurricane in modern history in Puerto Rico"" https://t.co/t5Zizd3XE0",2017-09-20 02:18:45+00:00,10,-0.6249,0.0,0.785,0.215
210,@CNN,"Hours after a drill in Mexico City commemorating a 1985 earthquake, the real thing struck https://t.co/wxtyw8crgl https://t.co/UegRE2Qnd7",2017-09-20 02:15:05+00:00,11,-0.25,0.0,0.875,0.125
211,@CNN,Apple's latest mobile operating system iOS 11 is now available as a free download on iPhones and iPads… https://t.co/7J0dzw7mi5,2017-09-20 02:08:39+00:00,12,0.5106,0.163,0.837,0.0
212,@CNN,Amazon mistakenly sends baby registry emails to people with no babies on the way https://t.co/Z10zP1Lb7i https://t.co/tfV0xMbVJc,2017-09-20 02:02:49+00:00,13,-0.4019,0.089,0.681,0.23
213,@CNN,"Equifax says hackers stole data on 100,000 Canadians https://t.co/91M6KWye39 https://t.co/MiFboyel05",2017-09-20 01:57:03+00:00,14,0.0,0.0,1.0,0.0
214,@CNN,"Americans are worried about the Equifax hack. They're just not doing much about it, a poll suggests.… https://t.co/TIKO9Aqc9I",2017-09-20 01:51:16+00:00,15,-0.296,0.0,0.879,0.121
215,@CNN,RT @CNNweather: Hurricane #Jose ties a long-standing record as the longest-lasting hurricane since Frances (1980) https://t.co/faVPCecqQ2,2017-09-20 01:48:14+00:00,16,0.0,0.0,1.0,0.0
216,@CNN,Photos show a magnitude-7.1 earthquake's destruction in central Mexico https://t.co/2MnQogvOvb https://t.co/YHxKdnalRx,2017-09-20 01:45:08+00:00,17,-0.5719,0.0,0.709,0.291
217,@CNN,"""When the earthquake hit, I was on a moving plane on the runway at Mexico City airport."" https://t.co/llx03m4pLd",2017-09-20 01:39:13+00:00,18,0.0,0.0,1.0,0.0
218,@CNN,RT @AC360: New video emerges from Mexico City as magnitude 7.1 earthquake strikes center of country https://t.co/Dsh6QWKDyj,2017-09-20 01:15:35+00:00,19,-0.3612,0.0,0.865,0.135
219,@CNN,"NOAA Hurricane Hunters flight director: Cat. 5 Hurricane Maria has leveled off at an ""extreme level of intensity"" https://t.co/53ekpMGBeh",2017-09-20 01:14:51+00:00,20,0.0,0.0,1.0,0.0
220,@CNN,".@tomfriedman reacts to President Trump's UN speech: ""Its a worldview I just don't share, Anderson"" https://t.co/B6yLxwKb0u",2017-09-20 01:13:38+00:00,21,-0.2235,0.0,0.873,0.127
221,@CNN,US Sen. Cory Gardner launches a push to expel North Korea from the United Nations https://t.co/HMXdLsdCpv https://t.co/4X7YG5vLml,2017-09-20 01:08:44+00:00,22,-0.0258,0.142,0.711,0.147
222,@CNN,"Hurricane Maria went from Category 1 to Category 5 in just 15 hours. @chadmyerscnn explains ""rapid intensification""… https://t.co/IrSxIOJZj4",2017-09-20 00:57:19+00:00,23,0.0,0.0,1.0,0.0
223,@CNN,Destruction in Mexico City after a 7.1-magnitude earthquake strikes central Mexico https://t.co/VyY1WsoLzd https://t.co/SSpY5I7yWY,2017-09-20 00:54:23+00:00,24,-0.7351,0.0,0.617,0.383
224,@CNN,"The world is running out of antibiotics, the WHO says https://t.co/jRfMXdFqn9 https://t.co/CvbmuDOBjW",2017-09-20 00:42:48+00:00,25,0.0,0.0,1.0,0.0
225,@CNN,"RT @OutFrontCNN: #Trump launches his latest nickname: ""I'm not the man they think I am at home...Oh no no no I'm a rocket man"" ? https://t.…",2017-09-20 00:31:53+00:00,26,-0.6808,0.0,0.752,0.248
226,@CNN,"Frmr Nixon counsel Dean: Mueller playing hardball with Manafort, tactics are ""very unusual"" https://t.co/8owq4LC0dw https://t.co/1ApnZ9bSaz",2017-09-20 00:31:10+00:00,27,0.2023,0.114,0.886,0.0
227,@CNN,"RT @OutFrontCNN: ""It's just #Trumpcare again. It's a zombie Trumpcare bill."" @SenMarkey on #GOP's Hail Mary plan to repeal #Obamacare https…",2017-09-20 00:29:13+00:00,28,0.0772,0.064,0.936,0.0
228,@CNN,Exclusive: Mueller’s team is reaching back 11 years in its investigation of former Trump campaign chairman Manafort… https://t.co/NOSx8UNXvn,2017-09-20 00:05:35+00:00,29,0.3182,0.171,0.829,0.0
229,@CNN,"RT @OutFrontCNN: Calling Kim Jong Un ""Rocket Man"" wasn't an ad-lib. Per @Acosta it was chosen bc ""it translates clearly into Chinese"" https…",2017-09-19 23:50:35+00:00,30,0.4019,0.109,0.891,0.0
230,@CNN,"The Interior Department is getting ""Big Buck Hunter Pro"" as part of initiative ""to reemphasize hunting and fishing""… https://t.co/IRmRaoVB8v",2017-09-19 23:45:53+00:00,31,0.0,0.0,1.0,0.0
231,@CNN,Chipotle's queso is shaping up to be another disappointment for the struggling fast food chain… https://t.co/7gyG4No4Ib,2017-09-19 23:35:21+00:00,32,-0.7269,0.0,0.697,0.303
232,@CNN,"Looking for news updates on a weak phone connection? Get the text-only version of CNN's top stories, also en Españo… https://t.co/LPGkpL3B6Y",2017-09-19 23:29:58+00:00,33,-0.2732,0.079,0.793,0.128
233,@CNN,"RT @OutFrontCNN: ""You have to be over 89 years old...to have seen anything like this...hit Puerto Rico"" @npwcnn, as #Maria approaches https…",2017-09-19 23:27:28+00:00,34,0.3612,0.106,0.894,0.0
234,@CNN,Israeli PM Benjamin Netanyahu took aim at Iran in a #UNGA speech with a message tailored for 1 man: President Trump… https://t.co/QNWzCRIH3n,2017-09-19 23:24:31+00:00,35,0.0,0.0,1.0,0.0
235,@CNN,Several jurors appeared to be snoozing as prosecutors introduced evidence of Bob Menendez's travels during trial… https://t.co/sqkSkZOxNP,2017-09-19 23:18:57+00:00,36,0.0,0.0,1.0,0.0
236,@CNN,Gun maker shares spike on news that President Trump may make it easier to sell overseas https://t.co/bVJv1B0K35 https://t.co/AmcU7o2Ix9,2017-09-19 23:13:16+00:00,37,0.3818,0.223,0.67,0.107
237,@CNN,"Bannon ordered Breitbart to step up negative coverage of a Trump-backed Alabama Senate candidate, a source says… https://t.co/3kBcdGNzNn",2017-09-19 23:07:26+00:00,38,-0.5719,0.0,0.802,0.198
238,@CNN,Georgia Tech students reflect after a night of violent protests over a fatal shooting by police… https://t.co/6Pemxmc9ND,2017-09-19 23:01:37+00:00,39,-0.8519,0.0,0.563,0.437
239,@CNN,"The Republican National Committee spent more than $230,000 in August to cover some of President Trump's legal fees… https://t.co/rs8JjdCEJJ",2017-09-19 22:55:37+00:00,40,0.128,0.077,0.923,0.0
240,@CNN,This was the view from the ground as a violent magnitude-7.1 earthquake rocked Mexico https://t.co/6tx4zk0Vk4 https://t.co/fAGiy7PuJA,2017-09-19 22:45:16+00:00,41,-0.5994,0.0,0.782,0.218
241,@CNN,Climate remains a rift in the Trump-Macron friendship https://t.co/lRgTmsNvSy https://t.co/flAPj7z2Ux,2017-09-19 22:39:03+00:00,42,0.4404,0.266,0.734,0.0
242,@CNN,Sen. Cardin on North Korea: We need to find a diplomatic solution; a military solution would be catastrophic https://t.co/yNJdogMWzR,2017-09-19 22:34:13+00:00,43,0.1027,0.211,0.642,0.147
243,@CNN,"Trump's ""Rocket Man"" nickname for Kim Jong Un doesn't make any sense, Michael D'Antonio writes for @CNNOpinion https://t.co/LhnB0o4IfB",2017-09-19 22:33:26+00:00,44,0.0,0.0,1.0,0.0
244,@CNN,"Millions of customers had their electricity service interrupted after the quake in central Mexico, the govt. said… https://t.co/Tn6mnqZfyk",2017-09-19 22:24:44+00:00,45,-0.296,0.0,0.885,0.115
245,@CNN,The list of global companies being drawn into a vast graft scandal in South Africa is growing https://t.co/LXa39vNwiN,2017-09-19 22:21:46+00:00,46,-0.296,0.087,0.765,0.148
246,@CNN,Dozens were killed in a powerful earthquake that rocked Mexico City and surrounding states https://t.co/AQVcd8X81b https://t.co/cDyBSpEoTZ,2017-09-19 22:14:09+00:00,47,-0.4019,0.138,0.64,0.222
247,@CNN,"UN wonders if US President Trump's threat to ""totally destroy"" North Korea is just bluster https://t.co/5y9xkZIfq9 https://t.co/oj8TNWxYaQ",2017-09-19 22:10:29+00:00,48,-0.8016,0.0,0.676,0.324
248,@CNN,How world leaders reacted to US President Trump's UN speech https://t.co/sQCTEzJZ90 #UNGA https://t.co/ybz1VWFk2j,2017-09-19 22:04:47+00:00,49,0.0,0.0,1.0,0.0
249,@CNN,RT @TheLeadCNN: Gov. Brown: The argument that America got a bad deal in Paris agreement is “more fake than any fake news assertion by Presi…,2017-09-19 22:02:59+00:00,50,-0.8402,0.093,0.552,0.355
250,@CNN,There's a thriving ecosystem for buying and selling human identities. Here's what cybercriminals do with stolen inf… https://t.co/DooPYzOpN5,2017-09-19 21:53:29+00:00,51,-0.4939,0.0,0.833,0.167
251,@CNN,"RT @CNNweather: A typical year would only see around 2 storms rapidly intensify, but it's happened 4 times in the last month https://t.co/u…",2017-09-19 21:43:34+00:00,52,0.0,0.0,1.0,0.0
252,@CNN,A coalition of 41 states' AGs have served five major opioid manufacturers and three drug distributors with subpoena… https://t.co/FyKYghd5Oc,2017-09-19 21:42:30+00:00,53,0.0,0.0,1.0,0.0
253,@CNN,"Melinda Gates says the VC industry ""needs to clean up its act"" https://t.co/cSJ9uUkhcO https://t.co/SZt2bx1AvX",2017-09-19 21:26:02+00:00,54,0.4019,0.172,0.828,0.0
254,@CNN,"BREAKING: At least 44 people are dead after a magnitude-7.1 earthquake that struck in Mexico, an official says… https://t.co/i6VhGImma7",2017-09-19 21:06:30+00:00,55,-0.743,0.0,0.717,0.283
255,@CNN,"It's easy to see the physical damage from a major storm, but there can be a psychological toll to look out for, too… https://t.co/hyIF9zCeIB",2017-09-19 20:53:08+00:00,56,-0.0387,0.081,0.832,0.087
256,@CNN,"How the iconic ""Whose streets? Our streets!"" chant has been co-opted https://t.co/FlIi7Jfunt https://t.co/4TEu1Kj7a9",2017-09-19 20:42:24+00:00,57,0.0,0.0,1.0,0.0
257,@CNN,Four Rutgers students created a rickshaw transportation network that works like a ride-sharing shuttle service… https://t.co/A41CCByUjh,2017-09-19 20:37:13+00:00,58,0.5423,0.273,0.727,0.0
258,@CNN,Rep. Ed Royce says he doesn’t think the US should withdraw from Iran deal -- we should “enforce the hell” out of it https://t.co/6UqYCMNpav,2017-09-19 20:33:21+00:00,59,0.0,0.0,1.0,0.0
259,@CNN,"A normal year would only see around 2 storms rapidly intensify, but it's happened 4 times in the last month https://t.co/fTjfscWxwY",2017-09-19 20:31:57+00:00,60,0.0,0.0,1.0,0.0
260,@CNN,Three US congressmen were among a group of protesters arrested at an immigration demonstration outside Trump Tower… https://t.co/lSjVCriAPT,2017-09-19 20:26:34+00:00,61,-0.5574,0.069,0.686,0.245
261,@CNN,"""SNL"" is staying live coast-to-coast this season https://t.co/EWIN3lmWH1 https://t.co/jsUYjHvCGb",2017-09-19 20:20:53+00:00,62,0.0,0.0,1.0,0.0
262,@CNN,"The NFL is finally back in Los Angeles. But so far, Los Angeles isn't showing up. https://t.co/A1af2XxtSI https://t.co/YUnFFUteXI",2017-09-19 19:58:55+00:00,63,0.0,0.0,1.0,0.0
263,@CNN,"Photos show the scene after a magnitude-7.1 earthquake struck the central Mexican state of Puebla, according to USG… https://t.co/uDe4U1JfzA",2017-09-19 19:53:10+00:00,64,-0.25,0.0,0.895,0.105
264,@CNN,Maria could be the first Category 4 or 5 hurricane to make landfall in Puerto Rico in 85 years https://t.co/UG2jg2qZvI,2017-09-19 19:46:24+00:00,65,0.0,0.0,1.0,0.0
265,@CNN,RT @CNNweather: How bad was the Mexican earthquake? Adrian Wilson was having lunch when the whole room started shaking. https://t.co/3KdTmY…,2017-09-19 19:38:17+00:00,66,-0.6369,0.0,0.776,0.224
266,@CNN,"Four South Carolina students have been punished for sharing a picture in which ""rape"" is spelled on their chests… https://t.co/KRJqWxGZCa",2017-09-19 19:34:36+00:00,67,-0.0516,0.123,0.746,0.132
267,@CNN,"Fiat Chrysler is recalling nearly 500,000 pickup trucks over a possible fire risk https://t.co/jYbPdzEJMj https://t.co/gTmEkajYbz",2017-09-19 19:28:18+00:00,68,-0.5423,0.0,0.727,0.273
268,@CNN,Twitter says it has shut down nearly 1 million terrorist accounts in two years https://t.co/5qhn7ptnK5 https://t.co/ePRH1tDvJR,2017-09-19 19:21:15+00:00,69,-0.6908,0.0,0.749,0.251
269,@CNN,"A magnitude-7.1 earthquake struck the central Mexican state of Puebla, the US Geological Survey said https://t.co/SxOMwNNSBu",2017-09-19 19:12:55+00:00,70,-0.25,0.0,0.875,0.125
270,@CNN,"The US is considering shooting down North Korean missiles even when they are not a direct threat, an official says… https://t.co/pmPtRJDv07",2017-09-19 19:00:14+00:00,71,0.4168,0.127,0.873,0.0
271,@CNN,"RT @CNNPolitics: Schumer on Graham-Cassidy:  ""It's a bill to end Medicaid as we know it and let the governors do the dirty work"" https://t.…",2017-09-19 18:57:16+00:00,72,-0.4404,0.0,0.884,0.116
272,@CNN,Exclusive: US investigators wiretapped Paul Manafort under secret court orders before and after the election… https://t.co/0sHuA98EKe,2017-09-19 18:50:09+00:00,73,0.128,0.091,0.909,0.0
273,@CNN,"Toys 'R' Us files for bankruptcy protection in the US but says its 1,600 stores worldwide will continue to operate… https://t.co/KjhyWQLjJj",2017-09-19 18:40:13+00:00,74,0.0,0.0,1.0,0.0
274,@CNN,This charity rented out President Trump's childhood home and invited over refugees https://t.co/McHocJjeto https://t.co/WKovdGH6BT,2017-09-19 18:30:14+00:00,75,0.4215,0.177,0.823,0.0
275,@CNN,"Watch #Maria grow from a Cat. 1 to Cat. 5 hurricane, still packing 160 mph winds as it barrels toward Puerto Rico… https://t.co/mxqXOSBTd8",2017-09-19 18:20:45+00:00,76,0.0,0.0,1.0,0.0
276,@CNN,"Ala. Senate candidate stands behind use of terms widely seen as racially insensitive toward Native Americans, Asian… https://t.co/A7ao7CqPpU",2017-09-19 18:10:06+00:00,77,-0.2263,0.0,0.899,0.101
277,@CNN,Apple's latest mobile operating system iOS 11 is now available as a free download on iPhones and iPads… https://t.co/n7MZpGrKwQ,2017-09-19 18:00:32+00:00,78,0.5106,0.163,0.837,0.0
